verb	target	field	value
row-create	Sets	Exercise	Standing_Military_Press
row-create	Sets	Set index	4
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-03T18:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	95
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	ae3d3cca2c4f5ffe
row-create	Sets	source_message_id	msg-7
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Standing Military Press set 4, 95 lb x 5. Set 5 at 95 lb.
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-03T18:00:00+00:00
say	program-design	msg-1	"Picked GZCLP: GZCLP is the standing default for a 3-4 day barbell strength goal past the absolute-novice stage: double progression with a proven T1/T2/T3 shape. T1 Barbell Squat starts at 140 lb (from 185x5, e1RM 187 lb after form allowance)."
say	session-runner	msg-2	"Day A1 (squat T1, bench T2) - 3 exercises. T1 Barbell Squat 5x3, AMRAP last set; T2 Barbell Bench Press - Medium Grip 3x10; T3 Wide-Grip Lat Pulldown 3x15, AMRAP last set\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-3	"Barbell Squat set 1-3, 225 lb x 5. Set 4 at 225 lb."
say	session-runner	msg-4	"Session closed. Nice work today."
say	session-runner	msg-5	"Day B1 (overhead press T1, deadlift T2) - 3 exercises. T1 Standing Military Press 5x3, AMRAP last set; T2 Barbell Deadlift 3x10; T3 Bent Over Two-Dumbbell Row 3x15, AMRAP last set\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-6	"Standing Military Press set 1-3, 95 lb x 5. Set 4 at 95 lb."
say	session-runner	msg-7	"Standing Military Press set 4, 95 lb x 5. Set 5 at 95 lb."
say	session-runner	msg-8	"Session closed. Nice work today."
