url	title	kind	cited_by	why	access
https://www.ehlers-danlos.org/information/exercise-and-movement-for-adults-with-hypermobile-ehlers-danlos-syndrome-and-hypermobility-spectrum-disorders/	The Ehlers-Danlos Society: Exercise and movement for adults with hEDS and HSD	primary	-	Condition-owner guidance on training joint control within hypermobile range	open
https://www.acefitness.org/academy/AcademyElitePDFs/ACE_PT5th_Manual_Ch1.pdf	ACE Personal Trainer Manual, 5th edition, Chapter 1: Role and Scope of Practice	primary	-	Quotable scope-of-practice limits on diagnosis, prescription, rehabilitation and diet	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC10878792/	The Role of Exercise in Statin-Associated Muscle Symptoms: Systematic Review and Meta-Analysis (2024)	primary	-	Primary evidence for the statin-exercise interaction card; open full text	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC7719906/	World Health Organization 2020 guidelines on physical activity and sedentary behaviour (Bull et al, BJSM)	cited	-	Peer-reviewed journal version of the WHO guideline; better full-text ingest	open
https://health.gov/sites/default/files/2019-09/Physical_Activity_Guidelines_2nd_edition.pdf	Physical Activity Guidelines for Americans, 2nd edition (2018)	cited	https://journals.lww.com/greenjournal/fulltext/10.1097/aog.0000000000003772~physical-activity-and-exercise-during-pregnancy-and-the	Reference 4 of ACOG 804 and the dose base for several cards	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC2992225/	Exercise and Type 2 Diabetes: ACSM and ADA Joint Position Statement (2010)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC6908414/	Cited predecessor of the 2016 ADA statement; type 2 specifics	open
https://doi.org/10.1249/01.MSS.0000142662.21767.58	ACSM Position Stand: Physical Activity and Bone Health (2004)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC8576825/	Cited by the cancer roundtable; underpins bone-loading claims	abstract-only
https://doi.org/10.1249/MSS.0b013e3181915670	ACSM Position Stand: Progression Models in Resistance Training for Healthy Adults (2009)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC11209834/	Reference 1 of the AHA statement; baseline progression rules	abstract-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC11394883/	Exercise for Clients Taking an Anti-Obesity Medication (ACSM's Health & Fitness Journal, 2024)	cited	-	ACSM-published GLP-1 and lean-mass guidance; replaces vendor blog sources	open
https://www.who.int/publications/i/item/9789241599979	WHO Global Recommendations on Physical Activity for Health (2010)	cited	-	Predecessor superseded by the 2020 guideline; useful for wording changes	open
https://www.nice.org.uk/guidance/ng59	NICE NG59: Low back pain and sciatica in over 16s: assessment and management	cited	-	Primary basis of the chronic low back pain card and its red flags	open
https://www.esceo.org/sites/esceo/files/pdf/Bannuru_O%26C_OARSIguidelines_2019.pdf	OARSI guidelines for the non-surgical management of knee, hip and polyarticular osteoarthritis (2019)	cited	-	Full-text PDF behind the osteoarthritis card's core-treatment claims	open
https://www.acefitness.org/resources/pros/expert-articles/6248/nutrition-scope-of-practice-what-you-can-do-as-a-personal-trainer/	ACE: Nutrition Scope of Practice - What You Can Do as a Personal Trainer	cited	-	ACE's explicit nutrition and supplement scope limits for trainers	open
